pageReferrer,sessionSource,sessionMedium,sessions,totalUsers
https://www.google.com/,directory,referral,32,26
https://www.facebook.com/,facebook.com,referral,29,29
https://www.yelp.com/,yelp.com,referral,28,27
,sparksharkstg.wpenginepowered.com,referral,24,1
http://m.facebook.com/,m.facebook.com,referral,23,23
http://m.facebook.com,m.facebook.com,referral,20,20
https://www.sparkshark.com/?utm_source=directory&utm_medium=referral&utm_campaign=directory_citation,directory,referral,17,13
,tagassistant.google.com,referral,16,2
,search.google.com,referral,15,3
https://m.yelp.com/,m.yelp.com,referral,11,11
https://www.sparkshark.com/,yelp.com,referral,11,11
,directory,referral,10,8
,googlechrome.github.io,referral,9,1
https://lm.facebook.com/,lm.facebook.com,referral,8,8
https://www.sparkshark.com/wp-admin/post.php?post=314&action=elementor,search.google.com,referral,8,2
https://www.sparkshark.com/wp-admin/post.php?post=314&action=elementor,tagassistant.google.com,referral,8,1
https://l.facebook.com/,l.facebook.com,referral,7,7
https://www.sparkshark.com/,sparksharkstg.wpenginepowered.com,referral,7,1
,l.facebook.com,referral,5,2
https://search.google.com/,search.google.com,referral,5,3
https://www.sparkshark.com/,search.google.com,referral,5,1
https://www.sparkshark.com/,tagassistant.google.com,referral,5,2
https://www.sparkshark.com/wp-admin/,tagassistant.google.com,referral,5,1
https://www.sparkshark.com/wp-admin/update-core.php,tagassistant.google.com,referral,5,1
https://bluebbb.org/,bluebbb.org,referral,4,4
https://goodleap.lightning.force.com/,goodleap.lightning.force.com,referral,4,4
https://l.instagram.com/,l.instagram.com,referral,4,4
https://national.lightning.force.com/,national.lightning.force.com,referral,4,4
https://www.sparkshark.com/,googlechrome.github.io,referral,4,1
https://www.sparkshark.com/electrical-installation/,sparksharkstg.wpenginepowered.com,referral,4,1
https://www.sparkshark.com/residential-electrical-solutions/,sparksharkstg.wpenginepowered.com,referral,4,1
https://www.sparkshark.com/wp-admin/admin.php?page=wpengine-common&tab=caching,tagassistant.google.com,referral,4,1
https://chatgpt.com/,chatgpt.com,referral,3,2
https://docs.google.com/,docs.google.com,referral,3,2
https://moranalytics.com/,moranalytics.com,referral,3,3
https://www.sparkshark.com/,docs.google.com,referral,3,2
https://www.sparkshark.com/,goodleap.lightning.force.com,referral,3,3
https://www.sparkshark.com/,m.facebook.com,referral,3,3
https://www.sparkshark.com/about-us/,l.facebook.com,referral,3,2
https://www.sparkshark.com/contact-us/,tagassistant.google.com,referral,3,1
https://www.sparkshark.com/electrical-repair-and-service/,sparksharkstg.wpenginepowered.com,referral,3,1
https://www.sparkshark.com/wp-admin/customize.php?url=https%3A%2F%2Fwww.sparkshark.com%2F,tagassistant.google.com,referral,3,1
https://www.sparkshark.com/wp-admin/plugins.php?plugin_status=all&paged=1&s,tagassistant.google.com,referral,3,1
https://www.sparkshark.com/wp-admin/post.php?post=3210&action=elementor,sparksharkstg.wpenginepowered.com,referral,3,1
https://www.sparkshark.com/wp-admin/post.php?post=333&action=elementor,sparksharkstg.wpenginepowered.com,referral,3,1
https://yelp-sales--c.vf.force.com/,yelp-sales--c.vf.force.com,referral,3,2
,claude.ai,referral,2,1
,servicetitan.lightning.force.com,referral,2,1
https://claude.ai/,claude.ai,referral,2,1
https://tagassistant.google.com/,tagassistant.google.com,referral,2,1
https://www.google.com/,search.google.com,referral,2,2
https://www.sparkshark.com/,l.facebook.com,referral,2,2
https://www.sparkshark.com/,national.lightning.force.com,referral,2,2
https://www.sparkshark.com/,servicetitan.lightning.force.com,referral,2,1
